2025-06-10 18:46:36 | INFO     | tori.prajna | === PRAJNA STARTUP SEQUENCE BEGIN ===
2025-06-10 18:46:36 | INFO     | tori.prajna | Assigned port: 8001
2025-06-10 18:46:36 | INFO     | tori.prajna | Using start script: C:\Users\jason\Desktop\tori\kha\prajna\start_prajna.py
2025-06-10 18:46:36 | INFO     | tori.prajna | Command: C:\ALANPY311\python.exe C:\Users\jason\Desktop\tori\kha\prajna\start_prajna.py --port 8001 --host 0.0.0.0 --log-level INFO
2025-06-10 18:46:36 | INFO     | tori.prajna | PYTHONPATH set to: C:\Users\jason\Desktop\tori\kha
2025-06-10 18:46:36 | INFO     | tori.prajna | Working directory: C:\Users\jason\Desktop\tori\kha\prajna
2025-06-10 18:46:36 | INFO     | tori.prajna | Process started with PID: 30056
2025-06-10 18:46:36 | INFO     | tori.prajna | Waiting for health check on port 8001 (max 60 attempts)
2025-06-10 18:46:38 | DEBUG    | tori.prajna | Health check attempt 1: HTTPConnectionPool(host='127.0.0.1', port=8001): Max retries exceeded with url: /api/health (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002AD77E6C210>, 'Connection to 127.0.0.1 timed out. (connect timeout=2)'))
2025-06-10 18:46:40 | WARNING  | tori.prajna | [STDERR] INFO:ingest_pdf.extractConceptsFromDocument:\U0001f30d INITIALIZING UNIVERSAL CONCEPT EXTRACTION MODELS...
2025-06-10 18:46:40 | WARNING  | tori.prajna | [STDERR] INFO:ingest_pdf.extractConceptsFromDocument:\u2705 YAKE extractor initialized
2025-06-10 18:46:41 | DEBUG    | tori.prajna | Health check attempt 2: HTTPConnectionPool(host='127.0.0.1', port=8001): Max retries exceeded with url: /api/health (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002AD77E6DFD0>, 'Connection to 127.0.0.1 timed out. (connect timeout=2)'))
2025-06-10 18:46:44 | WARNING  | tori.prajna | [STDERR] INFO:sentence_transformers.SentenceTransformer:Use pytorch device_name: cpu
2025-06-10 18:46:44 | WARNING  | tori.prajna | [STDERR] INFO:sentence_transformers.SentenceTransformer:Load pretrained SentenceTransformer: sentence-transformers/all-mpnet-base-v2
2025-06-10 18:46:44 | DEBUG    | tori.prajna | Health check attempt 3: HTTPConnectionPool(host='127.0.0.1', port=8001): Max retries exceeded with url: /api/health (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002AD77E900D0>, 'Connection to 127.0.0.1 timed out. (connect timeout=2)'))
2025-06-10 18:46:45 | WARNING  | tori.prajna | [STDERR] INFO:ingest_pdf.extractConceptsFromDocument:\u2705 KeyBERT with universal embeddings initialized
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:ingest_pdf.extractConceptsFromDocument:\u2705 spaCy universal NER initialized
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:ingest_pdf.extractConceptsFromDocument:\u2139\ufe0f spacy-entity-linker not installed; proceeding without entity linking
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:ingest_pdf.extractConceptsFromDocument:\U0001f30d \U0001f9ec UNIVERSAL CONCEPT EXTRACTION MODULE LOADED
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:ingest_pdf.extractConceptsFromDocument:\u2705 Ready for cross-domain concept extraction: Science, Humanities, Arts, Philosophy, Mathematics!
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:cognitive_interface:Registered ConceptMesh callback: notify_ui_update
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:pdf_ingestion:\u2705 Main concept database loaded: 2304 concepts
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:pdf_ingestion:\U0001f30d Universal seed concepts loaded: 48 concepts
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:pdf_ingestion:\U0001f30d UNIVERSAL DATABASE READY: 2304 total concepts (+0 seeds)
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:pdf_ingestion:\U0001f6e1\ufe0f 100% BULLETPROOF PIPELINE LOADED - ZERO NONETYPE ERRORS GUARANTEED
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] WARNING:prajna.memory.concept_mesh:\u26a0\ufe0f Could not load existing mesh data: 'list' object has no attribute 'get'
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.memory.concept_mesh:\U0001f512 Concept Mesh LOCKDOWN initialized.
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna_atomic:\u2705 Concept Mesh API loaded - lockdown enabled
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\U0001f4cb Prajna configuration loaded from environment
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
